"id","user_id","user_type","balance","total_expense","total_recharge","freeze_price","creator","create_time","updater","update_time","deleted","tenant_id"
"23","1","2","10000","0","0","0","1","16/5/2025 23:16:55","1","16/5/2025 15:36:22","0","1"
"2052234995920723970","1","1","0","0","0","0","1","7/5/2026 11:52:06","1","17/6/2026 11:34:34","0","1"
"2058113907627687937","2054374957553369090","2","4961820","97500","0","0","2054374957553369090","23/5/2026 17:12:48","2054374957553369090","17/6/2026 13:53:48","0","1"
"2059158769895206914","2054373680970809345","2","993300","7600","1000","0","2054373680970809345","26/5/2026 14:24:43","2054373680970809345","18/6/2026 17:42:29","0","1"
"2059530260306366465","2059530252043583489","2","0","0","0","0","2057373771964968962","27/5/2026 15:00:53","2057373771964968962","27/5/2026 15:00:53","0","1"
"2061713954735554561","2061713940378497025","2","10898720","0","0","0","2059530252043583489","2/6/2026 15:38:06","2059530252043583489","15/6/2026 15:51:13","0","1"
"2062074948078977025","2061737944140537858","2","0","0","0","0","2061737944140537858","3/6/2026 15:32:34","2061737944140537858","12/6/2026 11:12:56","0","1"
"2065389494599544835","105","2","3937860","14657668","10547281","0","","15/6/2026 15:46:43","","11/7/2026 14:43:22","0","1"
"2066492004249546753","280","1","108000","0","0","0","2054373680970809345","15/6/2026 20:04:22","2054373680970809345","17/6/2026 11:34:34","0","1"
"2066495945971724289","2066495940850479106","1","11001476","0","10285076","0",,"15/6/2026 20:20:02",,"7/7/2026 11:23:46","0","1"
"2066497131584860162","104","2","29900","100","0","1018","2056354048963866626","15/6/2026 20:24:44","2056354048963866626","11/7/2026 14:19:58","0","1"
"2066762527474053121","2066762522285699073","1","360","1000","1000","0",,"16/6/2026 13:59:20",,"10/7/2026 15:55:27","0","1"
"2066773066946310145","2066773065692213250","1","1149049","300","1149349","0",,"16/6/2026 14:41:13",,"30/6/2026 09:53:36","0","1"
"2067090148380504066","2067090143611580417","2","2001","0","2001","0","-1","17/6/2026 11:41:11","-1","9/7/2026 09:46:12","0","1"
"2067128065018687489","2067128064918024194","1","0","0","0","0",,"17/6/2026 14:11:51",,"17/6/2026 14:11:51","0","1"
"2067155693737996289","2067155693641527297","1","0","0","0","0",,"17/6/2026 16:01:38",,"17/6/2026 16:01:38","0","1"
"2067168523647881218","2067168521047392257","1","9789","1211","1000","0","1","17/6/2026 16:52:37","1","8/7/2026 14:22:28","0","1"
"2067229713296650241","2067229712952717314","2","0","0","0","0","-1","17/6/2026 20:55:46","-1","17/6/2026 20:55:46","0","1"
"2067417917014458370","2067417915634610177","1","0","0","0","0",,"18/6/2026 09:23:37",,"18/6/2026 09:23:37","0","1"
"2067497014214311937","2067497014071783426","1","0","0","0","0",,"18/6/2026 14:37:55",,"18/6/2026 14:37:55","0","1"
"2067497030152667137","2067497030089830401","1","0","0","0","0",,"18/6/2026 14:37:59",,"18/6/2026 14:37:59","0","1"
"2067497040017670146","2067497039942250498","1","0","0","0","0",,"18/6/2026 14:38:01",,"18/6/2026 14:38:01","0","1"
"2067497049882673154","2067497049832419329","1","0","0","0","0",,"18/6/2026 14:38:04",,"18/6/2026 14:38:04","0","1"
"2067497059873505281","2067497059819057154","1","0","0","0","0",,"18/6/2026 14:38:06",,"18/6/2026 14:38:06","0","1"
"2067497069411352577","2067497069348515842","1","0","0","0","0",,"18/6/2026 14:38:08",,"18/6/2026 14:38:08","0","1"
"2067497395476545537","2067497395401125890","1","0","0","0","0",,"18/6/2026 14:39:26",,"18/6/2026 14:39:26","0","1"
"2067497407627444226","2067497407577190402","1","0","0","0","0",,"18/6/2026 14:39:29",,"18/6/2026 14:39:29","0","1"
"2067497419824480258","2067497419770032130","1","0","0","0","0",,"18/6/2026 14:39:32",,"18/6/2026 14:39:32","0","1"
"2067497429685288961","2067497429639229442","1","0","0","0","0",,"18/6/2026 14:39:34",,"18/6/2026 14:39:34","0","1"
"2067497437688020993","2067497437629378562","1","0","0","0","0",,"18/6/2026 14:39:36",,"18/6/2026 14:39:36","0","1"
"2067497445841747970","2067497445778911233","1","0","0","0","0",,"18/6/2026 14:39:38",,"18/6/2026 14:39:38","0","1"
"2067497470558781442","2067497470500139010","1","0","0","0","0",,"18/6/2026 14:39:44",,"18/6/2026 14:39:44","0","1"
"2067497482332192770","2067497482256773122","1","0","0","0","0",,"18/6/2026 14:39:47",,"18/6/2026 14:39:47","0","1"
"2067497489466703874","2067497489412255745","1","0","0","0","0",,"18/6/2026 14:39:48",,"18/6/2026 14:39:48","0","1"
"2067497493803614209","2067497493749166081","1","0","0","0","0",,"18/6/2026 14:39:49",,"18/6/2026 14:39:49","0","1"
"2067497497565904898","2067497497507262465","1","0","0","0","0",,"18/6/2026 14:39:50",,"18/6/2026 14:39:50","0","1"
"2067497499050688514","2067497498992046082","1","0","0","0","0",,"18/6/2026 14:39:51",,"18/6/2026 14:39:51","0","1"
"2067497502624235521","2067497502573981697","1","0","0","0","0",,"18/6/2026 14:39:52",,"18/6/2026 14:39:52","0","1"
"2067497504020938754","2067497503970684930","1","0","0","0","0",,"18/6/2026 14:39:52",,"18/6/2026 14:39:52","0","1"
"2067516251599323137","2067516251549069313","1","0","0","0","0",,"18/6/2026 15:54:22",,"18/6/2026 15:54:22","0","1"
"2067535751157694465","2067535751073886210","1","0","0","0","0",,"18/6/2026 17:11:51",,"18/6/2026 17:11:51","0","1"
"2067612314872102914","2046222930692358145","1","0","0","0","0","2046222930692358145","18/6/2026 22:16:05","2046222930692358145","18/6/2026 22:16:05","0","1"
"2067810837890646018","2067810836494020610","1","0","0","0","0",,"19/6/2026 11:24:56",,"19/6/2026 11:24:56","0","1"
"2068894288727293954","2052212950591164418","1","30940","0","30700","0",,"22/6/2026 11:10:11",,"10/7/2026 15:53:54","0","1"
"2069227528872837121","2067497049832419300","1","0","0","0","0","-1","23/6/2026 09:14:22","-1","23/6/2026 09:14:22","0","1"
"2069252387166273537","2066773065692213200","1","0","0","0","0","-1","23/6/2026 10:53:09","-1","23/6/2026 10:53:09","0","1"
"2069272567586013185","2069272566160027650","2","30901","0","30901","0","-1","23/6/2026 12:13:20","-1","8/7/2026 15:12:21","0","1"
"2069365350233587714","2069365349604519938","2","200","0","200","0","-1","23/6/2026 18:22:01","-1","3/7/2026 16:55:48","0","1"
"2069966450888339458","2069966450708049922","1","70","0","70","0",,"25/6/2026 10:10:35",,"25/6/2026 13:07:54","0","1"
"2070036616263299073","2067128064918024200","1","0","0","0","0","-1","25/6/2026 14:49:23","-1","25/6/2026 14:49:23","0","1"
"2070074931771469825","2070074926037856258","2","0","0","0","0","2059530252043583489","25/6/2026 17:21:39","2059530252043583489","25/6/2026 17:21:39","0","1"
"2070075443346534401","2070075443086487553","2","0","0","0","0","2059530252043583489","25/6/2026 17:23:40","2059530252043583489","25/6/2026 17:23:40","0","1"
"2070357361921224705","2070357361648594945","2","0","0","0","0","2059530252043583489","26/6/2026 12:03:55","2059530252043583489","26/6/2026 12:03:55","0","1"
